Name,1,2,3,4,5,6,7,8,9,10,11,12,Total
Columbia International University,0,0,177,1,0,0,0,186,8,71,0,0,443
Converse University,0,0,69,8,21,0,2,94,0,48,32,8,282
Erskine College,0,0,30,0,10,1,2,23,0,12,0,0,78
Francis Marion University,11,8,112,35,64,7,8,98,11,119,20,2,495
Furman University,0,32,80,102,61,19,41,65,66,141,77,48,732
Greenville Technical College,244,79,424,0,0,0,0,0,0,362,16,0,1125
Lander University,0,15,185,44,26,2,11,88,32,100,29,1,533
Limestone University,0,47,194,0,12,3,0,19,4,64,9,0,352
Morris College,0,0,27,3,1,0,0,2,6,7,0,0,46
Newberry College,0,0,56,11,7,1,4,22,9,30,14,0,154
North Greenville University,0,0,105,2,18,3,0,112,26,60,11,3,340
Presbyterian College,0,1,39,24,49,2,12,6,0,67,4,6,210
University of South Carolina Aiken,19,12,372,31,26,5,4,61,26,62,16,0,634
University of South Carolina Beaufort,0,2,80,26,46,1,0,14,22,64,12,1,268
University of South Carolina-Columbia,540,266,2925,435,796,88,85,615,487,742,296,48,7323
Coastal Carolina University,24,57,567,103,214,8,11,267,146,272,114,11,1794
South Carolina State University,36,8,58,11,41,1,5,61,18,24,10,0,273
University of South Carolina-Upstate,19,62,160,28,83,6,13,326,55,177,36,6,971
Spartanburg Methodist College,0,0,31,0,0,0,0,0,0,172,4,0,207
Voorhees University,0,5,23,4,9,0,0,0,2,11,0,0,54
Winthrop University,0,12,222,51,71,13,12,223,39,146,123,9,921
Wofford College,0,19,147,81,82,12,24,0,0,71,15,51,502
Augustana University,4,14,119,39,68,11,12,264,22,57,21,35,666
Black Hills State University,0,0,118,28,49,6,17,123,35,105,31,1,513
Dakota State University,0,428,48,0,8,15,0,60,0,39,0,0,598
Dakota Wesleyan University,0,0,92,0,7,1,0,37,2,17,10,0,166
Mount Marty University,0,0,28,5,4,0,0,27,0,8,0,0,72
Kairos University,0,0,0,0,0,0,0,0,0,2,0,0,2
Northern State University,0,6,83,14,60,7,5,124,0,55,22,0,376
Oglala Lakota College,1,6,35,0,2,0,0,58,0,28,3,0,133
Presentation College,0,0,13,0,8,0,4,0,5,8,0,0,38
South Dakota School of Mines and Technology,443,32,0,0,5,15,37,0,0,1,0,0,533
South Dakota State University,240,33,164,82,143,84,25,174,74,254,79,11,1363
Sinte Gleska University,0,0,17,0,0,0,0,33,0,3,1,0,54
University of Sioux Falls,0,5,152,30,15,2,1,128,23,53,9,0,418
Sisseton Wahpeton College,1,0,3,0,0,0,0,0,0,1,0,2,7
University of South Dakota,3,25,365,65,94,5,19,231,68,216,56,7,1154
American Baptist College,0,0,1,0,0,0,0,0,0,0,0,0,1
Austin Peay State University,59,119,284,37,65,18,37,129,94,741,87,7,1677
Baptist Health Sciences University,0,0,0,0,7,0,0,0,0,0,0,0,7
Belmont University,1,18,297,32,66,11,2,64,113,110,656,10,1380
Bryan College-Dayton,9,0,143,2,6,0,0,44,10,49,4,0,267
Carson-Newman University,0,4,155,20,30,2,4,331,11,92,28,5,682
Christian Brothers University,76,81,191,0,29,11,3,48,0,56,22,0,517
Cumberland University,0,2,201,6,26,0,1,60,0,161,12,0,469
Lipscomb University,57,20,306,26,101,12,3,354,23,83,88,5,1078
East Tennessee State University,71,110,439,67,136,19,83,257,91,415,95,15,1798
Fisk University,0,6,19,16,59,0,2,1,0,32,6,0,141
Welch College,0,0,8,0,2,0,0,10,0,5,1,0,26
Freed-Hardeman University,1,6,84,8,20,2,0,154,11,71,28,4,389
Johnson University,0,0,42,0,0,0,0,43,6,76,2,4,173
King University,0,13,171,4,17,8,4,39,16,43,4,0,319
Lane College,0,2,21,10,17,0,6,12,8,4,6,0,86
Le Moyne-Owen College,0,7,36,4,19,0,1,1,3,8,3,0,82
Lee University,6,7,161,33,12,7,2,174,77,184,73,8,744
